"","Date","ZipCode","ZORI","State","CountyName","City"
"1","2015.01.31",22193,1328.16314732217,"VA","Prince William County","Woodbridge"
"2","2015.02.28",22193,1333.13166453143,"VA","Prince William County","Woodbridge"
"3","2015.03.31",22193,1358.93080184128,"VA","Prince William County","Woodbridge"
"4","2015.04.30",22193,1355.8074291421,"VA","Prince William County","Woodbridge"
"5","2015.05.31",22193,1369.52141542774,"VA","Prince William County","Woodbridge"
"6","2015.06.30",22193,1370.82975134816,"VA","Prince William County","Woodbridge"
"7","2015.07.31",22193,1358.90806242662,"VA","Prince William County","Woodbridge"
"8","2015.08.31",22193,1334.71055196502,"VA","Prince William County","Woodbridge"
"9","2015.09.30",22193,1334.01326772685,"VA","Prince William County","Woodbridge"
"10","2015.10.31",22193,1337.69547280529,"VA","Prince William County","Woodbridge"
"11","2015.11.30",22193,1352.89571134983,"VA","Prince William County","Woodbridge"
"12","2015.12.31",22193,1346.35451736592,"VA","Prince William County","Woodbridge"
"13","2016.01.31",22193,1357.78645024961,"VA","Prince William County","Woodbridge"
"14","2016.02.29",22193,1369.03199392873,"VA","Prince William County","Woodbridge"
"15","2016.03.31",22193,1382.00374098826,"VA","Prince William County","Woodbridge"
"16","2016.04.30",22193,1381.9022197434,"VA","Prince William County","Woodbridge"
"17","2016.05.31",22193,1379.21397356647,"VA","Prince William County","Woodbridge"
"18","2016.06.30",22193,1380.04400485008,"VA","Prince William County","Woodbridge"
"19","2016.07.31",22193,1386.29308116404,"VA","Prince William County","Woodbridge"
"20","2016.08.31",22193,1385.99453956381,"VA","Prince William County","Woodbridge"
"21","2016.09.30",22193,1380.48998585192,"VA","Prince William County","Woodbridge"
"22","2016.10.31",22193,1387.57684285171,"VA","Prince William County","Woodbridge"
"23","2016.11.30",22193,1389.59857598059,"VA","Prince William County","Woodbridge"
"24","2016.12.31",22193,1417.69755560165,"VA","Prince William County","Woodbridge"
"25","2017.01.31",22193,1416.25191623346,"VA","Prince William County","Woodbridge"
"26","2017.02.28",22193,1417.39122869774,"VA","Prince William County","Woodbridge"
"27","2017.03.31",22193,1388.6956950926,"VA","Prince William County","Woodbridge"
"28","2017.04.30",22193,1402.85432465396,"VA","Prince William County","Woodbridge"
"29","2017.05.31",22193,1419.52375353143,"VA","Prince William County","Woodbridge"
"30","2017.06.30",22193,1434.94679368643,"VA","Prince William County","Woodbridge"
"31","2017.07.31",22193,1427.10016125036,"VA","Prince William County","Woodbridge"
"32","2017.08.31",22193,1419.07401804939,"VA","Prince William County","Woodbridge"
"33","2017.09.30",22193,1424.82248384471,"VA","Prince William County","Woodbridge"
"34","2017.10.31",22193,1432.57932435124,"VA","Prince William County","Woodbridge"
"35","2017.11.30",22193,1428.64789115529,"VA","Prince William County","Woodbridge"
"36","2017.12.31",22193,1423.81078151798,"VA","Prince William County","Woodbridge"
"37","2018.01.31",22193,1438.98936866078,"VA","Prince William County","Woodbridge"
"38","2018.02.28",22193,1440.09646471541,"VA","Prince William County","Woodbridge"
"39","2018.03.31",22193,1452.91082604232,"VA","Prince William County","Woodbridge"
"40","2018.04.30",22193,1435.24409210881,"VA","Prince William County","Woodbridge"
"41","2018.05.31",22193,1455.34633154846,"VA","Prince William County","Woodbridge"
"42","2018.06.30",22193,1470.56324063593,"VA","Prince William County","Woodbridge"
"43","2018.07.31",22193,1479.41119234928,"VA","Prince William County","Woodbridge"
"44","2018.08.31",22193,1489.67741018278,"VA","Prince William County","Woodbridge"
"45","2018.09.30",22193,1470.74514147291,"VA","Prince William County","Woodbridge"
"46","2018.10.31",22193,1476.5772863188,"VA","Prince William County","Woodbridge"
"47","2018.11.30",22193,1474.40791612885,"VA","Prince William County","Woodbridge"
"48","2018.12.31",22193,1490.16981716755,"VA","Prince William County","Woodbridge"
"49","2019.01.31",22193,1472.52752955211,"VA","Prince William County","Woodbridge"
"50","2019.02.28",22193,1469.48573967249,"VA","Prince William County","Woodbridge"
"51","2019.03.31",22193,1476.0419961947,"VA","Prince William County","Woodbridge"
"52","2019.04.30",22193,1496.13997806729,"VA","Prince William County","Woodbridge"
"53","2019.05.31",22193,1502.70130667544,"VA","Prince William County","Woodbridge"
"54","2019.06.30",22193,1514.8471345192,"VA","Prince William County","Woodbridge"
"55","2019.07.31",22193,1523.60909211102,"VA","Prince William County","Woodbridge"
"56","2019.08.31",22193,1526.72300597179,"VA","Prince William County","Woodbridge"
"57","2019.09.30",22193,1491.49915950487,"VA","Prince William County","Woodbridge"
"58","2019.10.31",22193,1498.31728766852,"VA","Prince William County","Woodbridge"
"59","2019.11.30",22193,1502.94629255295,"VA","Prince William County","Woodbridge"
"60","2019.12.31",22193,1528.56837975355,"VA","Prince William County","Woodbridge"
"61","2020.01.31",22193,1551.29025504533,"VA","Prince William County","Woodbridge"
"62","2020.02.29",22193,1595.71200701035,"VA","Prince William County","Woodbridge"
"63","2020.03.31",22193,1604.17297038089,"VA","Prince William County","Woodbridge"
"64","2020.04.30",22193,1604.0247313745,"VA","Prince William County","Woodbridge"
"65","2020.05.31",22193,1578.39010195269,"VA","Prince William County","Woodbridge"
"66","2020.06.30",22193,1583.09415038571,"VA","Prince William County","Woodbridge"
"67","2020.07.31",22193,1562.64070317979,"VA","Prince William County","Woodbridge"
"68","2020.08.31",22193,1574.40014043537,"VA","Prince William County","Woodbridge"
"69","2020.09.30",22193,1589.25554092144,"VA","Prince William County","Woodbridge"
"70","2020.10.31",22193,1592.3028656371,"VA","Prince William County","Woodbridge"
"71","2020.11.30",22193,1588.55697777686,"VA","Prince William County","Woodbridge"
"72","2020.12.31",22193,1569.94991083312,"VA","Prince William County","Woodbridge"
"73","2021.01.31",22193,1611.11542561026,"VA","Prince William County","Woodbridge"
"74","2021.02.28",22193,1622.97058907557,"VA","Prince William County","Woodbridge"
"75","2021.03.31",22193,1676.71984155183,"VA","Prince William County","Woodbridge"
"76","2021.04.30",22193,1679.04210826702,"VA","Prince William County","Woodbridge"
"77","2021.05.31",22193,1676.18071284325,"VA","Prince William County","Woodbridge"
"78","2021.06.30",22193,1685.59075485173,"VA","Prince William County","Woodbridge"
"79","2021.08.31",22193,1736.53637772713,"VA","Prince William County","Woodbridge"
"80","2021.09.30",22193,1748.01660346085,"VA","Prince William County","Woodbridge"
"81","2021.10.31",22193,1741.88207402632,"VA","Prince William County","Woodbridge"
"82","2021.11.30",22193,1759.19494643724,"VA","Prince William County","Woodbridge"
"83","2021.12.31",22193,1755.65864766081,"VA","Prince William County","Woodbridge"
"84","2022.01.31",22193,1773.14069513894,"VA","Prince William County","Woodbridge"
"85","2022.02.28",22193,1815.62118505936,"VA","Prince William County","Woodbridge"
"86","2022.03.31",22193,1827.54366201437,"VA","Prince William County","Woodbridge"
"87","2022.04.30",22193,1858.11548750376,"VA","Prince William County","Woodbridge"
"88","2022.05.31",22193,1901.18232157889,"VA","Prince William County","Woodbridge"
"89","2022.06.30",22193,1935.3269884331,"VA","Prince William County","Woodbridge"
"90","2022.07.31",22193,1959.22990094556,"VA","Prince William County","Woodbridge"
"91","2022.08.31",22193,1919.75762905585,"VA","Prince William County","Woodbridge"
"92","2022.09.30",22193,1905.52993585186,"VA","Prince William County","Woodbridge"
"93","2022.10.31",22193,1890.35063925747,"VA","Prince William County","Woodbridge"
"94","2022.11.30",22193,1910.55924313576,"VA","Prince William County","Woodbridge"
"95","2022.12.31",22193,1909.86498749567,"VA","Prince William County","Woodbridge"
"96","2023.01.31",22193,1892.41610562613,"VA","Prince William County","Woodbridge"
"97","2023.02.28",22193,1856.93117939916,"VA","Prince William County","Woodbridge"
"98","2023.03.31",22193,1900.17545173425,"VA","Prince William County","Woodbridge"
"99","2023.04.30",22193,1940.31641292663,"VA","Prince William County","Woodbridge"
"100","2023.05.31",22193,2002.89001213074,"VA","Prince William County","Woodbridge"
"101","2023.06.30",22193,1981.5752056963,"VA","Prince William County","Woodbridge"
"102","2023.07.31",22193,2006.39048773513,"VA","Prince William County","Woodbridge"
"103","2023.08.31",22193,2038.18378921705,"VA","Prince William County","Woodbridge"
"104","2023.09.30",22193,2056.09678644485,"VA","Prince William County","Woodbridge"
"105","2023.10.31",22193,2015.2052926708,"VA","Prince William County","Woodbridge"
"106","2023.11.30",22193,2005.26904980091,"VA","Prince William County","Woodbridge"
"107","2023.12.31",22193,2009.14088943983,"VA","Prince William County","Woodbridge"
"108","2024.01.31",22193,2063.18180725588,"VA","Prince William County","Woodbridge"
"109","2024.02.29",22193,2102.79990837679,"VA","Prince William County","Woodbridge"
"110","2024.03.31",22193,2157.78355134263,"VA","Prince William County","Woodbridge"
"111","2024.04.30",22193,2163.33347873139,"VA","Prince William County","Woodbridge"
"112","2024.05.31",22193,2111.733609472,"VA","Prince William County","Woodbridge"
"113","2024.06.30",22193,2123.88424898914,"VA","Prince William County","Woodbridge"
"114","2024.07.31",22193,2146.89791272027,"VA","Prince William County","Woodbridge"
"115","2024.08.31",22193,2215.22051282051,"VA","Prince William County","Woodbridge"
"116","2015.01.31",22191,1483.28667667419,"VA","Prince William County","Woodbridge"
"117","2015.02.28",22191,1487.63940694023,"VA","Prince William County","Woodbridge"
"118","2015.03.31",22191,1488.33498783842,"VA","Prince William County","Woodbridge"
"119","2015.04.30",22191,1516.11293342468,"VA","Prince William County","Woodbridge"
"120","2015.05.31",22191,1532.38316766438,"VA","Prince William County","Woodbridge"
"121","2015.06.30",22191,1543.41236563301,"VA","Prince William County","Woodbridge"
