"Date","ZipCode","ZORI","State","City"
"2015.01.31",22193,1328.16314732217,"VA","Woodbridge"
"2015.02.28",22193,1333.13166453143,"VA","Woodbridge"
"2015.03.31",22193,1358.93080184128,"VA","Woodbridge"
"2015.04.30",22193,1355.8074291421,"VA","Woodbridge"
"2015.05.31",22193,1369.52141542774,"VA","Woodbridge"
"2015.06.30",22193,1370.82975134816,"VA","Woodbridge"
"2015.07.31",22193,1358.90806242662,"VA","Woodbridge"
"2015.08.31",22193,1334.71055196502,"VA","Woodbridge"
"2015.09.30",22193,1334.01326772685,"VA","Woodbridge"
"2015.10.31",22193,1337.69547280529,"VA","Woodbridge"
"2015.11.30",22193,1352.89571134983,"VA","Woodbridge"
"2015.12.31",22193,1346.35451736592,"VA","Woodbridge"
"2016.01.31",22193,1357.78645024961,"VA","Woodbridge"
"2016.02.29",22193,1369.03199392873,"VA","Woodbridge"
"2016.03.31",22193,1382.00374098826,"VA","Woodbridge"
"2016.04.30",22193,1381.9022197434,"VA","Woodbridge"
"2016.05.31",22193,1379.21397356647,"VA","Woodbridge"
"2016.06.30",22193,1380.04400485008,"VA","Woodbridge"
"2016.07.31",22193,1386.29308116404,"VA","Woodbridge"
"2016.08.31",22193,1385.99453956381,"VA","Woodbridge"
"2016.09.30",22193,1380.48998585192,"VA","Woodbridge"
"2016.10.31",22193,1387.57684285171,"VA","Woodbridge"
"2016.11.30",22193,1389.59857598059,"VA","Woodbridge"
"2016.12.31",22193,1417.69755560165,"VA","Woodbridge"
"2017.01.31",22193,1416.25191623346,"VA","Woodbridge"
"2017.02.28",22193,1417.39122869774,"VA","Woodbridge"
"2017.03.31",22193,1388.6956950926,"VA","Woodbridge"
"2017.04.30",22193,1402.85432465396,"VA","Woodbridge"
"2017.05.31",22193,1419.52375353143,"VA","Woodbridge"
"2017.06.30",22193,1434.94679368643,"VA","Woodbridge"
"2017.07.31",22193,1427.10016125036,"VA","Woodbridge"
"2017.08.31",22193,1419.07401804939,"VA","Woodbridge"
"2017.09.30",22193,1424.82248384471,"VA","Woodbridge"
"2017.10.31",22193,1432.57932435124,"VA","Woodbridge"
"2017.11.30",22193,1428.64789115529,"VA","Woodbridge"
"2017.12.31",22193,1423.81078151798,"VA","Woodbridge"
"2018.01.31",22193,1438.98936866078,"VA","Woodbridge"
"2018.02.28",22193,1440.09646471541,"VA","Woodbridge"
"2018.03.31",22193,1452.91082604232,"VA","Woodbridge"
"2018.04.30",22193,1435.24409210881,"VA","Woodbridge"
"2018.05.31",22193,1455.34633154846,"VA","Woodbridge"
"2018.06.30",22193,1470.56324063593,"VA","Woodbridge"
"2018.07.31",22193,1479.41119234928,"VA","Woodbridge"
"2018.08.31",22193,1489.67741018278,"VA","Woodbridge"
"2018.09.30",22193,1470.74514147291,"VA","Woodbridge"
"2018.10.31",22193,1476.5772863188,"VA","Woodbridge"
"2018.11.30",22193,1474.40791612885,"VA","Woodbridge"
"2018.12.31",22193,1490.16981716755,"VA","Woodbridge"
"2019.01.31",22193,1472.52752955211,"VA","Woodbridge"
"2019.02.28",22193,1469.48573967249,"VA","Woodbridge"
"2019.03.31",22193,1476.0419961947,"VA","Woodbridge"
"2019.04.30",22193,1496.13997806729,"VA","Woodbridge"
"2019.05.31",22193,1502.70130667544,"VA","Woodbridge"
"2019.06.30",22193,1514.8471345192,"VA","Woodbridge"
"2019.07.31",22193,1523.60909211102,"VA","Woodbridge"
"2019.08.31",22193,1526.72300597179,"VA","Woodbridge"
"2019.09.30",22193,1491.49915950487,"VA","Woodbridge"
"2019.10.31",22193,1498.31728766852,"VA","Woodbridge"
"2019.11.30",22193,1502.94629255295,"VA","Woodbridge"
